Wave[A],Flux[ergs A-1 cm-2 s-2](Orig),Flux[erg A-1 cm-2 s-2](cont+line+filt)
6488.54638671875,3.78704322828185E-16,4.43858914619283E-16
6487.4580078125,5.66962322043182E-16,4.43929501562165E-16
6486.36962890625,3.69186791302828E-16,4.43999821841514E-16
6485.28125,4.24100691882625E-16,4.44069875684088E-16
6484.19287109375,4.73142431558788E-16,4.44139663316648E-16
6483.1044921875,4.35409360601734E-16,4.44209184965945E-16
6482.01611328125,3.75612933591534E-16,4.44278440858742E-16
6480.927734375,4.59952028193027E-16,4.44347431221797E-16
6479.83935546875,4.64534722827205E-16,4.44416156281868E-16
6478.7509765625,4.31856900891646E-16,4.44484616265714E-16
6477.6630859375,3.59927721072833E-16,4.44552780864941E-16
6476.57470703125,4.20817259762752E-16,4.44620711495274E-16
6475.486328125,4.85015801482546E-16,4.44688377729555E-16
6474.39794921875,4.60813098284986E-16,4.44755779794537E-16
6473.3095703125,3.78489457700991E-16,4.4482291791698E-16
6472.22119140625,3.71896135593043E-16,4.44889792323644E-16
6471.1328125,4.11228119322057E-16,4.44956403241288E-16
6470.04443359375,4.27866894621834E-16,4.4502275089667E-16
6468.9560546875,4.71717625526811E-16,4.45088835516543E-16
6467.8681640625,4.93934634680079E-16,4.45154627856808E-16
6466.77978515625,4.26100086023094E-16,4.45220187203699E-16
6465.69140625,5.07017132886386E-16,4.45285484195251E-16
6464.60302734375,5.25239422605002E-16,4.4535051905823E-16
6463.5146484375,4.38644676617992E-16,4.45415292019395E-16
6462.42626953125,4.48623475816644E-16,4.45479803305496E-16
6461.33837890625,4.59600700543493E-16,4.45544024377375E-16
6460.25,4.17416286380742E-16,4.45608013110775E-16
6459.16162109375,4.12615259960568E-16,4.45671740849287E-16
6458.0732421875,3.27441236821451E-16,4.45735207819676E-16
6456.9853515625,4.89273404209823E-16,4.45798385950667E-16
6455.89697265625,4.65079209281753E-16,4.45861332181803E-16
6454.80859375,4.26274215482971E-16,4.45924018324985E-16
6453.72021484375,4.83669567241431E-16,4.45986444606966E-16
6452.63232421875,4.74914879985235E-16,4.46048583422761E-16
6451.5439453125,4.20910393020536E-16,4.46110490778952E-16
6450.45556640625,4.66299115617393E-16,4.46172138954112E-16
6449.36767578125,4.93430068403056E-16,4.46233500691887E-16
6448.279296875,4.11948025417655E-16,4.46294631301297E-16
6447.19091796875,5.06668695736784E-16,4.46355503409849E-16
6446.10302734375,3.64519350801696E-16,4.46416090108898E-16
6445.0146484375,3.9333568761474E-16,4.46476446011741E-16
6443.92626953125,3.41463878954065E-16,4.46536544093897E-16
6442.83837890625,5.04425631393213E-16,4.46596357793518E-16
6441.75,4.62352323689177E-16,4.46655941030005E-16
6440.66162109375,6.1425770279E-16,4.46715267125978E-16
6439.57373046875,5.12300482366039E-16,4.46774309865468E-16
6438.4853515625,3.23613601914834E-16,4.4683312247581E-16
6437.3974609375,4.57935952576871E-16,4.46891652413138E-16
6436.30908203125,4.28760083364943E-16,4.46949952444468E-16
6435.220703125,5.16994721313202E-16,4.47007996468879E-16
6434.1328125,4.02941363726752E-16,4.47065758844802E-16
6433.04443359375,5.19547577810483E-16,4.47123291650241E-16
6431.95654296875,5.54456212993287E-16,4.47180543489654E-16
6430.8681640625,4.59097661572753E-16,4.47237565982747E-16
6429.7802734375,3.47028515281774E-16,4.47294308191866E-16
6428.69189453125,5.81661528213111E-16,4.4735082127924E-16
6427.60400390625,4.99921794423517E-16,4.47407054764287E-16
6426.515625,3.82554173820821E-16,4.47463059352564E-16
6425.427734375,4.19558016467064E-16,4.47518785019754E-16
6424.33935546875,4.74745846178513E-16,4.47574282015565E-16
6423.25146484375,4.34139400354031E-16,4.47629500771115E-16
6422.1630859375,3.95344771238614E-16,4.47684491081082E-16
6421.0751953125,4.96225133971604E-16,4.47739203831216E-16
6419.98681640625,5.28873055202962E-16,4.47793688361965E-16
6418.89892578125,5.29002291034307E-16,4.47847896012896E-16
6417.810546875,4.21149273296437E-16,4.47901875671054E-16
6416.72265625,4.92674956618261E-16,4.47955579129004E-16
6415.634765625,4.06420275610147E-16,4.48009030886756E-16
6414.54638671875,4.35525391321781E-16,4.4806225499238E-16
6413.45849609375,5.20928561798841E-16,4.48115203916376E-16
6412.3701171875,4.86276740829362E-16,4.4816792541587E-16
6411.2822265625,5.22979389588636E-16,4.48220372412327E-16
6410.1943359375,4.24660042000745E-16,4.48272568841058E-16
6409.10595703125,4.22711695712563E-16,4.4832453818746E-16
6408.01806640625,4.21316799869791E-16,4.48376234047877E-16
6406.93017578125,4.35406628038154E-16,4.48427680020024E-16
6405.841796875,3.916548164642E-16,4.48478899252934E-16
6404.75390625,3.66323420026855E-16,4.48529846015998E-16
6403.666015625,4.43061370882191E-16,4.48580543570255E-16
6402.57763671875,4.23196073929847E-16,4.48631014729273E-16
6401.48974609375,5.26825302760393E-16,4.48681214433671E-16
6400.40185546875,3.79616013947235E-16,4.48731165608719E-16
6399.3134765625,4.11059814757763E-16,4.4878089073345E-16
6398.2255859375,4.83695740780083E-16,4.48830345417867E-16
6397.1376953125,4.75847856556971E-16,4.48879552252399E-16
6396.0498046875,5.82457167877454E-16,4.48928511463493E-16
6394.96142578125,4.96801978628807E-16,4.48977245085566E-16
6393.87353515625,3.61668451644709E-16,4.49025709618265E-16
6392.78564453125,4.16854903824711E-16,4.49073927206988E-16
6391.69775390625,4.25635083463897E-16,4.49121898078189E-16
6390.609375,3.9244793267622E-16,4.49169643823293E-16
6389.521484375,3.70245951078577E-16,4.49217121828333E-16
6388.43359375,4.43091775173949E-16,4.49264353795313E-16
6387.345703125,3.07846253228866E-16,4.49311339950682E-16
6386.2578125,4.11691570752169E-16,4.49358080520896E-16
6385.16943359375,3.83099294667753E-16,4.49404596545947E-16
